player,"player_
cards",banker,"banker_
cards",final,advice,"big_eye_
banker",small_banker,"cockroach_
banker",big_eye_player,small_player,cockroach_player
0,,7,,7,莊,紅,藍,紅,藍,紅,藍
7,,0,,7,閒,紅,紅,紅,藍,藍,藍
0,,3,,3,莊,紅,藍,藍,藍,紅,紅
0,,9,,9,莊,藍,紅,紅,紅,藍,藍
9,,1,,8,閒,紅,藍,紅,藍,紅,藍
8,,1,,7,閒,紅,藍,紅,藍,紅,藍
0,,0,,0,和,紅,藍,紅,藍,紅,藍
0,,3,,3,莊,藍,紅,藍,紅,藍,紅
8,,4,,4,閒,紅,藍,紅,藍,紅,藍
,,8,,,,藍,紅,紅,紅,藍,藍
3,,5,,2,莊,藍,紅,藍,紅,藍,紅
3,,4,,1,莊,紅,藍,紅,藍,紅,藍
9,,4,,5,閒,紅,紅,紅,藍,藍,藍
6,,8,,2,莊,,,,,,
3,,5,,2,莊,藍,紅,藍,紅,藍,紅
9,,3,,6,閒,紅,紅,紅,藍,藍,藍
4,,0,,4,閒,藍,紅,藍,紅,藍,紅
8,,1,,7,閒,藍,紅,藍,紅,藍,紅
9,,6,,3,閒,紅,紅,藍,藍,藍,紅
2,,7,,5,莊,藍,藍,紅,紅,紅,藍
4,,5,,1,莊,紅,藍,藍,藍,紅,紅
4,,9,,5,莊,藍,紅,紅,紅,藍,藍
2,,2,,0,和,紅,紅,紅,藍,藍,藍
7,,0,,7,閒,,,,,,
1,,8,,7,莊,藍,藍,紅,紅,紅,藍
8,,6,,2,閒,藍,紅,紅,紅,藍,藍
6,,4,,2,閒,紅,紅,藍,藍,藍,紅
9,,4,,5,閒,藍,藍,藍,紅,紅,紅
3,,6,,3,莊,藍,藍,紅,紅,紅,藍
5,,9,,4,莊,,,,,,
9,,7,,2,閒,,,,,,
8,,6,,2,閒,,,,,,
7,,9,,2,莊,紅,藍,藍,藍,紅,紅
3,,0,,3,閒,紅,紅,紅,藍,藍,藍
0,,1,,1,莊,紅,紅,紅,藍,藍,藍
9,,3,,6,閒,紅,紅,紅,藍,藍,藍
2,,7,,5,莊,藍,紅,藍,紅,藍,紅
7,,7,,0,和,藍,紅,藍,紅,藍,紅
0,,8,,8,莊,藍,紅,藍,紅,藍,紅
7,,0,,7,閒,紅,紅,紅,藍,藍,藍
4,,1,,3,閒,藍,紅,藍,紅,藍,紅
7,,2,,5,閒,紅,藍,藍,藍,紅,紅
7,,0,,7,閒,藍,藍,紅,紅,紅,藍
6,,9,,3,莊,藍,藍,藍,紅,紅,紅
0,,9,,9,莊,紅,紅,藍,藍,藍,紅
1,,4,,3,莊,藍,藍,藍,紅,紅,紅
3,,4,,1,莊,,,,,,
4,,3,,1,閒,紅,紅,紅,藍,藍,藍
9,,8,,1,閒,藍,紅,藍,紅,藍,紅
9,,2,,7,閒,紅,藍,藍,藍,紅,紅
7,,6,,1,閒,藍,藍,紅,紅,紅,藍
9,,6,,3,閒,藍,藍,藍,紅,紅,紅
9,,2,,7,閒,藍,藍,藍,紅,紅,紅
7,,4,,3,閒,藍,藍,藍,紅,紅,紅
9,,6,,3,閒,藍,藍,藍,紅,紅,紅
2,,5,,3,莊,藍,藍,藍,紅,紅,紅
4,,9,,5,莊,紅,紅,藍,藍,藍,紅
3,,8,,5,莊,紅,藍,紅,藍,紅,藍
6,,6,,0,和,紅,紅,紅,藍,藍,藍
7,,6,,1,閒,紅,紅,紅,藍,藍,藍
3,,9,,6,莊,藍,藍,藍,紅,紅,紅
9,,7,,2,閒,藍,紅,紅,紅,藍,藍
9,,6,,3,閒,藍,紅,藍,紅,藍,紅
7,,8,,1,莊,紅,藍,紅,藍,紅,藍
1,,6,,5,莊,紅,紅,藍,藍,藍,紅
7,,6,,1,閒,藍,藍,紅,紅,紅,藍
4,,8,,4,莊,藍,藍,藍,紅,紅,紅
6,,9,,3,莊,藍,紅,紅,紅,藍,藍
9,,3,,6,閒,紅,藍,藍,藍,紅,紅
9,,0,,9,閒,藍,紅,藍,紅,藍,紅
0,,1,,1,莊,紅,藍,紅,藍,紅,藍
9,"7,6,6",7,"7,Q",2,閒,藍,紅,藍,紅,藍,紅
4,"3,K,1",7,"3,4",3,莊,藍,藍,藍,紅,紅,紅
7,"3,4",9,"Q,1,8",2,莊,紅,紅,紅,藍,藍,藍
1,"1,10,J",6,"5,1",5,莊,紅,紅,紅,藍,藍,藍
3,"2,Q,1",7,"7,10",4,莊,紅,紅,藍,藍,藍,紅
4,"4,10",8,"1,7",4,莊,藍,紅,紅,紅,藍,藍
7,"7,Q",8,"5,3",1,莊,紅,紅,紅,藍,藍,藍
1,"9,2,Q",7,"9,3,5",6,莊,,,,,,
8,"7,4,7",2,"3,2,7",6,閒,紅,藍,紅,藍,紅,藍
6,"6,10",6,"6,K",0,和,藍,藍,藍,紅,紅,紅
